16	Prosodic Detail in Neapolitan Italian
18	A typology of marked-S languages
19	Adjective attribution
20	Syntax und Valenz
50	How mobile robots can self-organize a vocabulary
51	Language strategies for the domain of colour
52	The evolution of case grammar
53	The evolution of grounded spatial language
66	A grammar of Yakkha
67	A grammar of Mauwake
73	Grammaticalization in the North
75	Linguistic variation, identity construction and cognition
82	A grammar of Palula
89	The empirical base of linguistics
91	Roots of language
97	Die Sprachwissenschaft
44	.
116	Sprachliche Imitation
124	A grammar of Rapa Nui
78	A grammar of Papuan Malay
98	The Ik Language
83	A grammar of Yauyos Quechua
109	Tone in Yongning Na
137	Tonal placement in Tashlhiyt
118	A grammar of Moloko
74	A dictionary and grammatical outline of Chakali
111	Modeling information structure in a cross-linguistic perspective 
143	Sémantique formelle: Volume 1
141	The Verb in Nyakyusa
27	Grammaire des constructions elliptiques 
